,loss,sec
0,0.000385935514866,0.337243261337
100,0.000376933917752,27.0946869683
200,0.00029999755298,17.9497554207
300,0.000232067071275,17.4071203804
400,0.000196422546803,18.2050071502
500,0.000177641041004,20.6815944695
600,0.000143072091317,21.8457374096
700,0.000140001293409,23.1183961511
800,0.000141433611462,18.1656579995
900,0.000128514155197,14.8779946089
1000,0.000132295823217,14.3826065993
1100,9.72169261413e-05,14.4386890507
1200,7.09730782935e-05,14.6833351588
1300,3.51830338903e-05,17.3890872407
1400,2.12202144531e-05,15.5324574018
1500,1.53502066274e-05,17.59964329
1600,1.12376231887e-05,15.46619313
1700,1.0853709597e-05,14.0854071903
1800,8.96778605554e-06,15.4233596087
1900,9.00755181635e-06,16.8658263493
2000,8.66941631114e-06,15.4249348998
2100,8.88519035808e-06,16.2816872501
2200,7.69612581834e-06,16.1275554681
2300,7.70464866581e-06,16.4109156513
2400,7.19972543518e-06,15.2124826312
2500,7.98638231031e-06,15.118916831
2600,6.80887442468e-06,15.7438390899
2700,6.90416133897e-06,14.7407631993
2800,5.89056194364e-06,14.617490201
2900,5.63919790288e-06,25.3619891381
3000,6.28004984363e-06,20.9143040085
3100,6.70945106766e-06,17.0849173498
3200,5.2383550315e-06,15.84334589
3300,5.26811024268e-06,17.0168704414
3400,5.3421706335e-06,15.8370963407
3500,5.21227838876e-06,15.5885370708
3600,5.30507580617e-06,17.2293752003
3700,4.9688099544e-06,14.8519359589
3800,4.67088484644e-06,15.9253706884
3900,4.54245382814e-06,16.2405456591
4000,4.7436206723e-06,16.4396758294
4100,4.02890963411e-06,15.5729312301
4200,4.963348168e-06,17.6527365494
4300,3.98470685322e-06,15.1461008906
4400,3.76900249974e-06,16.0019365621
4500,4.80799484113e-06,17.2069008112
4600,3.99955817775e-06,16.8230906105
4700,3.73816100513e-06,15.2743539405
4800,4.34037902234e-06,15.9147080994
4900,3.77446428614e-06,14.8090815401
5000,4.05990764698e-06,16.7422763085
5100,3.78208034002e-06,15.405433979
5200,3.62430759908e-06,16.8168138814
5300,3.30641356462e-06,15.8488521504
5400,3.41614026165e-06,14.2929726195
5500,3.3722076889e-06,14.2997529602
5600,2.89747223607e-06,15.4748477912
5700,4.1507147128e-06,16.0145084691
5800,3.1558077636e-06,16.5071565604
5900,3.02813208217e-06,14.7636951804
6000,3.65831333222e-06,14.5300214791
6100,2.82662144292e-06,14.12084584
6200,3.41607017885e-06,17.5292401505
6300,2.73456028429e-06,14.1950727701
6400,3.07585963867e-06,14.9330897284
6500,2.51517853042e-06,14.9703006792
6600,2.8222494441e-06,14.951925559
6700,2.68264722708e-06,16.9282422209
6800,3.4041167782e-06,17.6954493213
6900,2.45038970501e-06,16.0812925005
7000,2.45978138456e-06,14.5678103781
7100,2.24040488691e-06,16.0588706684
7200,2.64268601313e-06,17.1921451211
7300,2.49963630626e-06,17.5700192881
7400,2.06594056384e-06,16.3947246504
7500,2.31644336483e-06,15.4433756399
7600,2.5937265567e-06,15.1067228794
7700,2.30605242132e-06,17.7186557508
7800,2.17130986263e-06,15.6662335706
7900,2.21714771424e-06,14.8570468116
