,loss,sec
0,0.004439504,0.013740668
100,0.000350447,1.424342461
200,0.000254532,1.37024626
300,0.000267787,1.37451159
400,0.000251942,1.366027348
500,0.000257145,1.36737298
600,0.000236575,1.484025979
700,0.000259088,1.37978173
800,0.000226011,1.35485759
900,0.00021163,1.35799638
1000,0.000198909,1.35569144
1100,0.000172163,1.36607264
1200,0.000156826,1.412520189
1300,0.00013374,1.356325951
1400,0.000110181,1.355182991
1500,9.47E-05,1.355741248
1600,7.15E-05,1.353256149
1700,5.76E-05,1.35410598
1800,4.57E-05,1.35339308
1900,3.97E-05,1.354645679
2000,3.69E-05,1.354851952
2100,3.19E-05,1.352499721
2200,2.79E-05,1.35585098
2300,2.70E-05,1.35601202
2400,2.61E-05,1.355170848
2500,2.37E-05,1.354905791
2600,2.09E-05,1.35740366
2700,2.02E-05,1.354821341
2800,2.27E-05,1.355188892
2900,2.02E-05,1.35734653
3000,1.92E-05,1.35496335
3100,1.87E-05,1.3554125
3200,1.73E-05,1.357029889
3300,1.79E-05,1.35652108
3400,1.77E-05,1.357198248
3500,1.55E-05,1.355159819
3600,1.64E-05,1.48797184
3700,1.59E-05,1.355568678
3800,1.47E-05,1.356167052
3900,1.41E-05,1.35777005
4000,1.39E-05,1.35597461
4100,1.47E-05,1.35491941
4200,1.33E-05,1.356901131
4300,1.36E-05,1.357094798
4400,1.36E-05,1.35796803
4500,1.23E-05,1.35467232
4600,1.23E-05,1.35517216
4700,1.29E-05,1.354840851
4800,1.37E-05,1.360817668
4900,1.14E-05,1.354172511
5000,1.21E-05,1.356970131
5100,1.20E-05,1.354869468
5200,1.17E-05,1.355709069
5300,1.09E-05,1.355071602
5400,1.04E-05,1.35585726
5500,9.97E-06,1.474018941
5600,9.46E-06,1.355655341
5700,1.04E-05,1.356347761
5800,1.06E-05,1.3547487
5900,9.75E-06,1.355151761
6000,9.41E-06,1.35766494
6100,9.08E-06,1.35752948
6200,8.60E-06,1.360882268
6300,8.92E-06,1.355290101
6400,8.50E-06,1.35625205
6500,9.30E-06,1.357583709
6600,9.05E-06,1.35597105
6700,8.92E-06,1.354430661
6800,8.31E-06,1.3546053
6900,8.19E-06,1.355311549
7000,8.27E-06,1.35467308
7100,8.23E-06,1.355666459
7200,7.41E-06,1.353847241
7300,7.50E-06,1.355298741
7400,7.87E-06,1.35382653
7500,7.06E-06,1.35835921
7600,7.61E-06,1.356496608
7700,7.17E-06,1.35590343
7800,7.28E-06,1.35603142
7900,6.29E-06,1.35930064
8000,7.67E-06,1.35489186
8100,7.03E-06,1.355178411
8200,6.85E-06,1.35638551
8300,5.75E-06,1.357507482
8400,6.11E-06,1.35499969
8500,6.13E-06,1.356344101
8600,5.63E-06,1.356276
8700,5.97E-06,1.356373169
8800,5.44E-06,1.355795481
8900,5.35E-06,1.35685658
9000,5.64E-06,1.354938631
9100,5.80E-06,1.355269752
9200,5.50E-06,1.355385141
9300,5.43E-06,1.357005939
9400,5.75E-06,1.35554188
9500,5.43E-06,1.354157979
9600,5.22E-06,1.357982609
9700,4.89E-06,1.354914391
9800,5.38E-06,1.356208
9900,4.92E-06,1.355276921
10000,4.79E-06,1.355955808
10100,4.61E-06,1.357056689
10200,4.91E-06,1.356780262
10300,4.67E-06,1.35528049
10400,5.34E-06,1.357087381
10500,5.03E-06,1.355618961
10600,4.75E-06,1.355620141
10700,5.12E-06,1.35389642
10800,4.37E-06,1.35687659
10900,4.61E-06,1.355776601
11000,4.11E-06,1.358904061
11100,5.12E-06,1.355729141
11200,4.43E-06,1.355792019
11300,4.72E-06,1.356226501
11400,4.95E-06,1.355580461
11500,4.13E-06,1.36127548
11600,4.34E-06,1.355929348
11700,3.83E-06,1.35636812
11800,4.42E-06,1.357478569
11900,4.56E-06,1.357619958
12000,4.71E-06,1.35613225
12100,4.12E-06,1.35598582
12200,3.73E-06,1.35596664
12300,4.02E-06,1.354630861
12400,3.66E-06,1.35211992
12500,3.73E-06,1.354940002
12600,3.47E-06,1.353154368
12700,3.47E-06,1.352891819
12800,3.51E-06,1.35215909
12900,3.28E-06,1.354364619
13000,3.05E-06,1.35502944
13100,3.23E-06,1.352669091
13200,3.48E-06,1.353865089
13300,3.32E-06,1.358121371
13400,3.43E-06,1.356715031
13500,3.45E-06,1.353838739
13600,3.19E-06,1.354933281
